"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"02006","2022","COM","2020","260","9","269","2023-01-02"
"02007","2022","COM","2020","120","3","123","2023-01-02"
"02008","2022","COM","2020","299","4","303","2023-01-02"
"02009","2022","COM","2020","531","6","537","2023-01-02"
"02010","2022","COM","2020","171","4","175","2023-01-02"
"02011","2022","COM","2020","1159","55","1214","2023-01-02"
"02012","2022","COM","2020","73","0","73","2023-01-02"
"02013","2022","COM","2020","390","9","399","2023-01-02"
"02014","2022","COM","2020","721","22","743","2023-01-02"
"02015","2022","COM","2020","74","1","75","2023-01-02"
"02016","2022","COM","2020","215","8","223","2023-01-02"
"02017","2022","COM","2020","308","2","310","2023-01-02"
"02018","2022","COM","2020","2587","54","2641","2023-01-02"
"02019","2022","COM","2020","359","5","364","2023-01-02"
"02020","2022","COM","2020","455","8","463","2023-01-02"
"02021","2022","COM","2020","82","1","83","2023-01-02"
"02022","2022","COM","2020","401","6","407","2023-01-02"
"02023","2022","COM","2020","101","3","104","2023-01-02"
"02024","2022","COM","2020","49","0","49","2023-01-02"
"02025","2022","COM","2020","367","2","369","2023-01-02"
"02027","2022","COM","2020","210","8","218","2023-01-02"
"02028","2022","COM","2020","2597","59","2656","2023-01-02"
"02029","2022","COM","2020","351","12","363","2023-01-02"
"02030","2022","COM","2020","254","4","258","2023-01-02"
"02031","2022","COM","2020","659","8","667","2023-01-02"
"02032","2022","COM","2020","254","4","258","2023-01-02"
"02033","2022","COM","2020","102","2","104","2023-01-02"
"02034","2022","COM","2020","122","3","125","2023-01-02"
"02035","2022","COM","2020","283","9","292","2023-01-02"
"02036","2022","COM","2020","70","1","71","2023-01-02"
"02037","2022","COM","2020","1380","30","1410","2023-01-02"
"02038","2022","COM","2020","60","1","61","2023-01-02"
"02039","2022","COM","2020","174","3","177","2023-01-02"
"02040","2022","COM","2020","176","3","179","2023-01-02"
"02041","2022","COM","2020","815","15","830","2023-01-02"
"02042","2022","COM","2020","379","6","385","2023-01-02"
"02043","2022","COM","2020","64","1","65","2023-01-02"
"02044","2022","COM","2020","24","0","24","2023-01-02"
"02046","2022","COM","2020","557","10","567","2023-01-02"
"02047","2022","COM","2020","108","1","109","2023-01-02"
"02048","2022","COM","2020","131","1","132","2023-01-02"
"02049","2022","COM","2020","740","13","753","2023-01-02"
"02050","2022","COM","2020","320","2","322","2023-01-02"
"02051","2022","COM","2020","391","6","397","2023-01-02"
"02052","2022","COM","2020","132","7","139","2023-01-02"
"02053","2022","COM","2020","573","6","579","2023-01-02"
"02054","2022","COM","2020","532","15","547","2023-01-02"
"02055","2022","COM","2020","87","2","89","2023-01-02"
"02056","2022","COM","2020","180","1","181","2023-01-02"
"02057","2022","COM","2020","1411","18","1429","2023-01-02"
"02058","2022","COM","2020","851","11","862","2023-01-02"
"02059","2022","COM","2020","2718","28","2746","2023-01-02"
"02060","2022","COM","2020","255","7","262","2023-01-02"
"02061","2022","COM","2020","245","7","252","2023-01-02"
"02062","2022","COM","2020","136","2","138","2023-01-02"
"02063","2022","COM","2020","379","8","387","2023-01-02"
"02064","2022","COM","2020","3762","67","3829","2023-01-02"
"02065","2022","COM","2020","587","11","598","2023-01-02"
"02066","2022","COM","2020","193","2","195","2023-01-02"
"02067","2022","COM","2020","209","5","214","2023-01-02"
"02068","2022","COM","2020","85","5","90","2023-01-02"
"02069","2022","COM","2020","105","2","107","2023-01-02"
"02070","2022","COM","2020","441","12","453","2023-01-02"
"02071","2022","COM","2020","650","11","661","2023-01-02"
"02072","2022","COM","2020","183","3","186","2023-01-02"
"02073","2022","COM","2020","687","4","691","2023-01-02"
"02074","2022","COM","2020","592","11","603","2023-01-02"
"02075","2022","COM","2020","194","2","196","2023-01-02"
"02076","2022","COM","2020","153","3","156","2023-01-02"
"02077","2022","COM","2020","380","9","389","2023-01-02"
"02078","2022","COM","2020","164","3","167","2023-01-02"
"02079","2022","COM","2020","147","0","147","2023-01-02"
"02080","2022","COM","2020","327","9","336","2023-01-02"
"02081","2022","COM","2020","432","8","440","2023-01-02"
"02082","2022","COM","2020","110","0","110","2023-01-02"
"02083","2022","COM","2020","751","15","766","2023-01-02"
"02084","2022","COM","2020","255","5","260","2023-01-02"
