localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
Île-de-France>Paris>Paris>Paris>Paris 12e;Muséum national d'histoire naturelle;Grand établissement;PARC ZOOLOGIQUE DE PARIS, MUSÉUM NATIONAL D'HISTOIRE NATURELLE;48.8293878894,2.4199089122;Partie délocalisée d'un établissement de l'enseignement supérieur;;1968-02-28;;Universités et INP hors écoles d'ingenieurs;0753793R;0753494R;MUSEUM NAT HISTOIRE NAT PARIS;0753494R;MNHN;FR0200;Q838691;https://www.wikidata.org/entity/Q838691;grid.410350.3;https://www.grid.ac/institutes/grid.410350.3;75112;Paris 12e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;53  AVENUE SAINT MAURICE;;;75012;PARIS;;UNIV;507
Normandie>Rouen>Seine-Maritime>Rouen>Mont-Saint-Aignan;Université de Rouen;Université;UNITE DE FORMATION ET DE RECHERCHE DES LETTRES ET SCIENCES HUMAINES;49.4577416011,1.06734520579;Unité de formation et de recherche (hors santé);;1971-06-05;4941;Universités et INP hors écoles d'ingenieurs;0762050R;0761904G;UNIVERSITE ROUEN;0761904G;;FR0218;Q494247;https://www.wikidata.org/entity/Q494247;grid.10400.35;https://www.grid.ac/institutes/grid.10400.35;76451;Mont-Saint-Aignan;UU00755;Rouen;D076;Seine-Maritime;A21;Rouen;R28;Normandie;100;;RUE LAVOISIER;;;76821;MONT ST AIGNAN CEDEX;;UNIV;539
Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;Université Paris-Est Marne-la-Vallée;Université;SERVICE GÉNÉRAL, UNIVERSITÉ PARIS EST MARNE LA VALLÉE;48.8399115325,2.58648394102;Service général;Service général;1997-02-05;;Services communs des universités;0772525B;0772502B;UNIV PARIS-EST MARNE-LA-VALLEE;0772502B;UPEM;FR0223;Q501207;https://www.wikidata.org/entity/Q501207;grid.10594.39;https://www.grid.ac/institutes/grid.10594.39;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;5  BOULEVARD DESCARTES;;;77454;MARNE LA VALLEE CEDEX 2;;SERV;533
Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice>Nice;Université Nice - Sophia-Antipolis;Université;UFR LETTRES ARTS SC HUMAINES UNIVERSITÉ NICE;43.6925515656,7.23726802783;Unité de formation et de recherche (hors santé);;1971-06-05;7111;Universités et INP hors écoles d'ingenieurs;0061075L;0060931E;UNIVERSITE NICE;0060931E;;FR0001;Q1198571;https://www.wikidata.org/entity/Q1198571;grid.10737.32;https://www.grid.ac/institutes/grid.10737.32;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;100;;98  BOULEVARD EDOUARD HERRIOT;;BP209;06204;NICE CEDEX 3;;UNIV;539
Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice>Nice;Université Nice - Sophia-Antipolis;Université;IREM UNIVERSITÉ NICE;43.716780992,7.2691377349;Institut de recherche sur l'enseignement des mathématiques;;1973-10-09;;Universités et INP hors écoles d'ingenieurs;0061203A;0060931E;UNIVERSITE NICE;0060931E;;FR0001;Q1198571;https://www.wikidata.org/entity/Q1198571;grid.10737.32;https://www.grid.ac/institutes/grid.10737.32;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;100;;28  AVENUE DE VALROSE;;;06108;NICE CEDEX 2;;UNIV;557
Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice>Nice;Université Nice - Sophia-Antipolis;Université;ASURE FORMATION UNIVERSITÉ NICE;43.7083360057,7.28824725073;Service Inter-établissements de formation continue;Formation continue;1971-01-10;285;Services communs des universités;0061347G;0060931E;UNIVERSITE NICE;0060931E;;FR0001;Q1198571;https://www.wikidata.org/entity/Q1198571;grid.10737.32;https://www.grid.ac/institutes/grid.10737.32;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;100;;24  AVENUE DES DIABLES BLEUS;POLE ST JEAN D'ANGELY;;06357;NICE CEDEX 4;;SERV;518
Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille - Aix-en-Provence>Aix-en-Provence;Aix-Marseille université;Université;ANT EC JOURNALISME COM AMU;43.5329875823,5.45103117492;Antenne délocalisée d'une composante d'université;;2011-01-09;177;Universités et INP hors écoles d'ingenieurs;0134033N;0133309B;EC JOURNALISME COM  AMU;0134009M;;FR0007;Q2302586;https://www.wikidata.org/entity/Q2302586;grid.5399.6;https://www.grid.ac/institutes/grid.5399.6;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;100;;2  AVENUE JULES ISAAC;;;13626;AIX EN PROVENCE CEDEX 1;;UNIV;530
Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille - Aix-en-Provence>Aix-en-Provence;Aix-Marseille université;Université;SERVICE COMMUN UNIVERSITAIRE DE FORMATION TOUT AU LONG DE LA VIE;43.5314056158,5.44698107033;Service commun de formation continue;Formation continue;1996-01-09;112;Services communs des universités;0133580W;0134009M;UNIVERSITE AIX-MARSEILLE;0134009M;;FR0007;Q2302586;https://www.wikidata.org/entity/Q2302586;grid.5399.6;https://www.grid.ac/institutes/grid.5399.6;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;100;;23  RUE GASTON DE SAPORTA;;;13100;AIX EN PROVENCE;;SERV;528
Normandie>Caen>Calvados>Caen>Caen;Université de Caen Normandie;Université;UNITE DE FORMATION ET DE RECHERCHE DE SCIENCES ECONOMIQUES ET DE GESTION, UNIVERSITE DE CAEN;49.1752693168,-0.341863497472;Unité de formation et de recherche (hors santé);;1971-02-05;;Universités et INP hors écoles d'ingenieurs;0141513U;0141408E;UNIVERSITE DE CAEN NORMANDIE;0141408E;;FR0008;Q568554;https://www.wikidata.org/entity/Q568554;grid.412043.0;https://www.grid.ac/institutes/grid.412043.0;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;100;;ESPLANADE DE LA PAIX;;;14032;CAEN CEDEX 5;;UNIV;539
Normandie>Caen>Calvados>Caen>Caen;Université de Caen Normandie;Université;UNITÉ DE FORMATION ET DE RECHERCHE DES SCIENCES - UNIVERSITÉ DE CAEN NORMANDIE;49.212954,-0.368506;Unité de formation et de recherche (hors santé);;2016-01-09;;Universités et INP hors écoles d'ingenieurs;0142410U;0141408E;UNIVERSITE DE CAEN NORMANDIE;0141408E;;FR0008;Q568554;https://www.wikidata.org/entity/Q568554;grid.412043.0;https://www.grid.ac/institutes/grid.412043.0;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;100;;BOULEVARD MARÉCHAL JUIN;;;14032;CAEN CEDEX 5;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Charente-Maritime>La Rochelle>La Rochelle;Université de La Rochelle;Université;SERVICE INTER-UNIVERSITAIRE DE MÉDECINE PRÉVENTIVE ET DE PROMOTION DE LA SANTÉ, UNIVERSITÉ DE LA ROCHELLE ET DE POITIERS;46.1487705122,-1.15678924572;Service inter-établissements de médecine préventive;Médecine préventive;2008-01-14;;Services communs des universités;0171600X;0171463Y;UNIVERSITE LA ROCHELLE;0171463Y;;FR0014;Q1500822;https://www.wikidata.org/entity/Q1500822;grid.11698.37;https://www.grid.ac/institutes/grid.11698.37;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;;15 RUE FLEMING;;;17000;LA ROCHELLE;;SERV;517
Bourgogne - Franche-Comté>Dijon>Côte-d'Or>Dijon>Dijon;Université de Bourgogne;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE IUT DE DIJON-AUXERRE;47.3110287122,5.06878621156;Institut universitaire de technologie;;1971-05-05;1707;Universités et INP hors écoles d'ingenieurs;0211139Z;0211237F;UNIVERSITE DIJON;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;BOULEVARD DOCTEUR PETIJEAN;;BP17867;21078;DIJON CEDEX;;UNIV;542
Bourgogne - Franche-Comté>Dijon>Saône-et-Loire>Chalon-sur-Saône>Chalon-sur-Saône;Université de Bourgogne;Université;ANTENNE DE CHALON SUR SAÔNE DE L'ÉCOLE SUPÉRIEURE DU PROFESSORAT ET DE L'ÉDUCATION DE L'ACADÉMIE DE DIJON;46.7799768284,4.84094547157;Antenne d'école supérieure du professorat et de l'éducation;;1991-01-09;22;Formation initiale continue des professeurs;0711288P;0212218X;ESPE ACADEMIE DIJON;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;71076;Chalon-sur-Saône;UU71501;Chalon-sur-Saône;D071;Saône-et-Loire;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;1  RUE DES PRES DEVANT;;;71100;CHALON SUR SAONE;;FORP;569
Bourgogne - Franche-Comté>Besançon>Doubs>Besançon>Besançon;Université de Franche-Comté;Université;UNITE DE PROMOTION,DE FORMATION, ET DE RECHERCHE DES SPORTS;47.2521006976,5.99034317623;Unité de formation et de recherche (hors santé);;1976-03-03;1160;Universités et INP hors écoles d'ingenieurs;0251436A;0251215K;UNIVERSITE DE BESANCON;0251215K;UFC;FR0022;Q829449;https://www.wikidata.org/entity/Q829449;grid.7459.f;https://www.grid.ac/institutes/grid.7459.f;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;100;;31 rue DE L'EPITAPHE;;;25000;BESANCON;;UNIV;539
Bourgogne - Franche-Comté>Besançon>Doubs>Montbéliard>Montbéliard;Université de Franche-Comté;Université;UFR SCIENCE TECHNIQUE ET GESTION INDUSTRIELLE;47.4961672524,6.80399525065;Unité de formation et de recherche (hors santé);;1991-01-09;416;Universités et INP hors écoles d'ingenieurs;0251821U;0251215K;UNIVERSITE DE BESANCON;0251215K;UFC;FR0022;Q829449;https://www.wikidata.org/entity/Q829449;grid.7459.f;https://www.grid.ac/institutes/grid.7459.f;25388;Montbéliard;UU25601;Montbéliard;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;100;;4 place THARRADIN;;BP71427;25211;MONTBELIARD CEDEX;;UNIV;539
Bourgogne - Franche-Comté>Besançon>Doubs>Besançon>Besançon;Université de Franche-Comté;Université;CENTRE DE LINGUISTIQUE APPLIQUEE;47.2348806046,6.01499984962;Composante d'université avec formation diplômante;;1971-02-05;;Universités et INP hors écoles d'ingenieurs;0251822V;0251215K;UNIVERSITE DE BESANCON;0251215K;UFC;FR0022;Q829449;https://www.wikidata.org/entity/Q829449;grid.7459.f;https://www.grid.ac/institutes/grid.7459.f;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;100;;6 rue GABRIEL PLANCON;;;25030;BESANCON CEDEX;;UNIV;540
Bretagne>Rennes>Finistère>Brest>Brest;Université de Bretagne Occidentale;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE DE L'UNIVERSITE DE BREST;48.4000374673,-4.50065122189;Service commun de documentation;Documentation;1967-12-13;;Services communs des universités;0290323U;0290346U;UNIVERSITE  BREST;0290346U;UBO;FR0026;Q1857334;https://www.wikidata.org/entity/Q1857334;grid.6289.5;https://www.grid.ac/institutes/grid.6289.5;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;100;;10 AVENUE VICTOR LE GORGEU;;;29219;BREST CEDEX 2;;SERV;526
Bretagne>Rennes>Finistère>Brest>Brest;Université de Bretagne Occidentale;Université;SERVICE UNIVERSITAIRE DE FORMATION CONTINUE, UNIVERSITE DE BREST;48.4009221706,-4.50164912439;Service commun de formation continue;Formation continue;1990-01-09;113;Services communs des universités;0292074X;0290346U;UNIVERSITE  BREST;0290346U;UBO;FR0026;Q1857334;https://www.wikidata.org/entity/Q1857334;grid.6289.5;https://www.grid.ac/institutes/grid.6289.5;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;100;;20 AVENUE VICTOR LE GORGEU;;BP93837;29238;BREST CEDEX 2;;SERV;528
Bretagne>Rennes>Finistère>Brest>Brest;Université de Bretagne Occidentale;Université;INSTITUT DE PRÉPARATION À L'ADMINISTRATION GÉNÉRALE, UBO;48.3922100787,-4.48809503721;Institut de préparation à l'administration générale;;1990-01-09;217;Universités et INP hors écoles d'ingenieurs;0292075Y;0290346U;UNIVERSITE  BREST;0290346U;UBO;FR0026;Q1857334;https://www.wikidata.org/entity/Q1857334;grid.6289.5;https://www.grid.ac/institutes/grid.6289.5;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;100;;20 RUE DUQUESNE;;CS93837;29238;BREST CEDEX 2;;UNIV;546
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Gard>Nîmes>Nîmes;Université de Nîmes;Université;DEPARTEMENT DES SCIENCES ET ARTS, UNIVERSITE DE NIMES;43.8427086177,4.35640814186;Composante d'université avec formation diplômante;;2003-01-09;1380;Universités et INP hors écoles d'ingenieurs;0301735Y;0301687W;UNIVERSITE NIMES;0301687W;UNÎMES;FR0030;Q2496121;https://www.wikidata.org/entity/Q2496121;grid.48959.39;https://www.grid.ac/institutes/grid.48959.39;30189;Nîmes;UU30601;Nîmes;D030;Gard;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;SITE VAUBAN;RUE DU DOCTEUR GEORGES SALAN;;;30021;NIMES CEDEX 1;;UNIV;540
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université Toulouse 1 - Capitole;Université;ECOLE D'ECONOMIE TOULOUSE - UNIVERSITÉ TOULOUSE 1;43.6062164547,1.4360998854;Composante d'université avec formation diplômante;;1971-06-05;2877;Universités et INP hors écoles d'ingenieurs;0311514C;0311382J;UNIVERSITE TOULOUSE 1;0311382J;;FR0038;Q590201;https://www.wikidata.org/entity/Q590201;grid.22147.32;https://www.grid.ac/institutes/grid.22147.32;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;2  RUE DU DOYEN GABRIEL MARTY;;;31042;TOULOUSE CEDEX 9;;UNIV;540
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université Toulouse - Jean Jaurès;Université;ECOLE ÉLÉMENTAIRE D'APPLICATION MAURICE BÉCANNE;43.5829630931,1.4259532315299999;Ecole élémentaire annexe d'ESPE;;1965-11-15;;Ecoles d'application du premier degré;0311025W;0312299F;ANTENNE ESPE TOULOUSE;0311383K;;FR0039;Q1933558;https://www.wikidata.org/entity/Q1933558;grid.410542.6;https://www.grid.ac/institutes/grid.410542.6;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;85 avenue de Muret;;;31300;TOULOUSE;;APPL;152
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université de Toulouse 3 - Paul Sabatier;Université;IUP GÉNIE DE L'ENVIRONNEMENT                       UNIVERSITÉ TOULOUSE 3;43.5605736802,1.46758228153;Institut universitaire professionnalisé;;1995-01-09;;Universités et INP hors écoles d'ingenieurs;0312451W;0311384L;UNIVERSITE TOULOUSE 3;0311384L;;FR0040;Q1273188;https://www.wikidata.org/entity/Q1273188;grid.15781.3a;https://www.grid.ac/institutes/grid.15781.3a;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;118  ROUTE DE NARBONNE;;;31062;TOULOUSE CEDEX 9;;UNIV;541
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université de Toulouse 3 - Paul Sabatier;Université;SERVICE COMMUN UNIVERSITAIRE D'ACCUEIL D'INFORMATION D'ORIENTATION ET D'INSERTION PROFESSIONNELLE  UNIVERSITÉ TOULOUSE 3;43.5621000251,1.46663320766;Service commun d'information et d'orientation;Information et orientation;1997-01-28;;Services communs des universités;0312497W;0311384L;UNIVERSITE TOULOUSE 3;0311384L;;FR0040;Q1273188;https://www.wikidata.org/entity/Q1273188;grid.15781.3a;https://www.grid.ac/institutes/grid.15781.3a;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;118  ROUTE DE NARBONNE;;;31062;TOULOUSE CEDEX 9;;SERV;525
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université de Toulouse 3 - Paul Sabatier;Université;SERVICE INTERUNIVERSITAIRE DU RÉSEAU MIDI-PYRÉNÉES UNIVERSITÉ TOULOUSE 3;43.5617449875,1.46793835764;Service général;Service général;2001-01-09;;Services communs des universités;0312615Z;0311384L;UNIVERSITE TOULOUSE 3;0311384L;;FR0040;Q1273188;https://www.wikidata.org/entity/Q1273188;grid.15781.3a;https://www.grid.ac/institutes/grid.15781.3a;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;118  ROUTE DE NARBONNE;;;31062;TOULOUSE CEDEX 9;;SERV;533
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Gironde>Bordeaux>Pessac;Université Bordeaux-Montaigne;Université;UNIVERSITE BORDEAUX 3;44.801464485,-0.61505808481;Université;;1970-09-06;366;Universités et INP hors écoles d'ingenieurs;0331766R;0331766R;UNIVERSITE BORDEAUX 3;0331766R;UBM;FR0046;Q13342;https://www.wikidata.org/entity/Q13342;;;33318;Pessac;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;DOMAINE UNIVERSITAIRE;;;33607;PESSAC CEDEX;;UNIV;523
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Gironde>Bordeaux>Bordeaux;Université de Bordeaux;Université;INSTITUT ADMINISTRATION  ENTREPRISE  UNIVERSITE   BORDEAUX;44.8449432596,-0.5578726851119999;Institut d'admininistration des entreprises;;1971-02-04;1367;Universités et INP hors écoles d'ingenieurs;0330166B;0333298F;UNIVERSITÉ DE BORDEAUX;0333298F;;;Q13344;https://www.wikidata.org/entity/Q13344;grid.10839.33;https://www.grid.ac/institutes/grid.10839.33;33063;Bordeaux;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;35  AVENUE ABADIE;;CS51412;33072;BORDEAUX CEDEX;;UNIV;544
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Gironde>Bordeaux>Talence;Université de Bordeaux;Université;UNITE DE FORMATION ET DE RECHERCHE DE MATHEMATIQUES ET INFORMATIQUE;44.8059489822,-0.592166528493;Unité de formation et de recherche (hors santé);;1971-02-05;;Universités et INP hors écoles d'ingenieurs;0331997S;0333298F;UNIVERSITÉ DE BORDEAUX;0333298F;;;Q13344;https://www.wikidata.org/entity/Q13344;grid.10839.33;https://www.grid.ac/institutes/grid.10839.33;33522;Talence;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;351 COURS DE LA LIBERATION;;;33405;TALENCE CEDEX;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Gironde>Bordeaux>Bordeaux;Université de Bordeaux;Université;UNITE DE FORMATION ET DE RECHERCHE SCIENCES MEDICALES UNIVERSITE DE BORDEAUX;44.8262929188,-0.601061464732;Unité de formation et de recherche en santé;;2009-01-09;10161;Universités et INP hors écoles d'ingenieurs;0333234L;0333298F;UNIVERSITÉ DE BORDEAUX;0333298F;;;Q13344;https://www.wikidata.org/entity/Q13344;grid.10839.33;https://www.grid.ac/institutes/grid.10839.33;33063;Bordeaux;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;146 rue LEO SAIGNAT;;;33076;BORDEAUX CEDEX;;UNIV;537
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Hérault>Béziers>Béziers;Université Montpellier 3 - Paul-Valéry;Université;ANTENNE DE LA FACULTÉ DES SCIENCES HUMAINES ET SCIENCES DE L'ENVIRONNEMENT, UNIVERSITÉ DE MONTPELLIER 3;43.3485759173,3.224279383;Antenne délocalisée d'une composante d'université;;1996-01-09;93;Universités et INP hors écoles d'ingenieurs;0341976N;0341147M;FAC SC HUMAINES SC ENVIRON;0341089Z;UPV;FR0055;Q2912244;https://www.wikidata.org/entity/Q2912244;grid.440910.8;https://www.grid.ac/institutes/grid.440910.8;34032;Béziers;UU34501;Béziers;D034;Hérault;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;CTRE UNIVT DUGUESCLIN;3 ALLÉE DOYEN NERSON;;BP310;34506;BEZIERS CEDEX;;UNIV;530
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Hérault>Montpellier>Montpellier;Université de Montpellier;Université;UNITÉ DE FORMATION ET DE RECHERCHE D'ÉCONOMIE, UNIVERSITÉ DE MONTPELLIER;43.6100940365,3.87146557125;Unité de formation et de recherche (hors santé);;1971-06-05;2371;Universités et INP hors écoles d'ingenieurs;0341153U;0342321N;UNIVERSITE DE MONTPELLIER;0342321N;;;Q776223;https://www.wikidata.org/entity/Q776223;grid.121334.6;https://www.grid.ac/institutes/grid.121334.6;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;ESPACE RICHTER;AVENUE DE LA MER;;BP79606;34960;MONTPELLIER CEDEX 2;;UNIV;539
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Hérault>Montpellier>Montpellier;Université de Montpellier;Université;SERVICE COMMUN DE DOCUMENTATION, UNIVERSITÉ DE MONTPELLIER;43.612816089,3.87358503763;Service commun de documentation;Documentation;2000-01-09;;Services communs des universités;0342055Z;0342321N;UNIVERSITE DE MONTPELLIER;0342321N;;;Q776223;https://www.wikidata.org/entity/Q776223;grid.121334.6;https://www.grid.ac/institutes/grid.121334.6;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;2  RUE ECOLE DE MEDECINE;;;34000;MONTPELLIER;;SERV;526
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Hérault>Montpellier>Montpellier;Université de Montpellier;Université;OBSERVATOIRE DE RECHERCHE MÉDITERRANÉEN DE L ENVIRONNEMENT (OSU OREME);43.6313435423,3.8610786185399997;Observatoire des sciences de l'univers;;2009-03-11;;Universités et INP hors écoles d'ingenieurs;0342293H;0342321N;UNIVERSITE DE MONTPELLIER;0342321N;;;Q776223;https://www.wikidata.org/entity/Q776223;grid.121334.6;https://www.grid.ac/institutes/grid.121334.6;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;BAT 22 CC 22002;PLACE EUGENE BATAILLON;;;34095;MONTPELLIER CEDEX 5;;UNIV;547
Bretagne>Rennes>Ille-et-Vilaine>Rennes>Rennes;Université Rennes 2;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE DE L'UNIVERSITE RENNES 2;48.1142934968,-1.68072372779;Service commun de documentation;Documentation;1990-01-09;;Services communs des universités;0352303N;0350937D;UNIVERSITE RENNES 2;0350937D;;FR0063;Q459026;https://www.wikidata.org/entity/Q459026;grid.11619.3e;https://www.grid.ac/institutes/grid.11619.3e;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;100;;19  AVENUE BATAIL.FLANDRE-DUNKER;;;35043;RENNES CEDEX;;SERV;526
